Channel1,Channel2,Channel3,Channel4
368207,792538,556105,1334226
109739,667694,601979,1322030
307069,805688,745041,1185594
341737,1062596,572937,1226446
601279,1276848,688383,986182
641627,1195376,625939,827484
544263,1374244,672381,581898
364451,1603982,569197,754688
293227,1814570,536119,494918
121347,1731530,624235,322390
-111359,1895056,638115,117720
-163641,2127674,601747,228948
-245481,2375474,551179,83802
-400459,2253072,647431,-153286
-441719,2413730,707531,-60808
-682521,2658182,625555,-280006
-870503,2885264,460945,-443354
-924573,2779922,652733,-182794
-842175,2945790,783551,-399396
-674845,3185996,627077,-256322
-784889,3410320,490945,-492778
-917321,3311340,653993,-667194
-1029749,3472992,694205,-659480
-1191079,3725546,646999,-769202
-1319367,3972778,523709,-987440
-1436869,3844972,668169,-1199448
-1532063,3980590,670069,-1029930
-1710479,3735034,650015,-799836
-1457129,3994984,836993,-861910
-1432961,3847682,681865,-708470
-1470675,3993296,646731,-805522
-1713445,3739106,681769,-754186
-1685039,3994854,915297,-854494
-1937111,3835144,1165351,-1082560
-2118035,4011108,1411697,-1037254
-2235269,3754700,1204241,-1262624
-2215377,4000062,1465953,-1153380
-2471303,3845974,1722991,-1219374
-2248917,4031704,1920193,-1157908
-2232991,4278894,1762499,-1222386
-2181891,4018042,1736327,-1193230
-1958245,3850044,1691483,-1153484
-1819811,4006680,1826169,-951914
-1717041,3744722,1740935,-1199672
-1619911,3513888,1762809,-977966
-1432235,3330576,1714539,-1084150
-1484283,3475516,1769481,-1067690
-1715143,3223488,1768637,-1188992
-1874703,2976126,1625285,-1319500
-1955575,2812718,1710405,-1204598
-2019781,2963420,1794757,-1113692
-2224461,2713094,1792917,-1183392
-2184439,2491940,1743021,-936778
-1936705,2297442,1730825,-1151630
-2083847,2421194,1750867,-1382162
-2233123,2183726,1776949,-1166462
-2154723,1948828,1774815,-1132000
-1938323,1778500,1706071,-1203334
-1948649,1894992,1842859,-1303906
-1691903,1654530,1815659,-1179626
-1671473,1397160,1779055,-1144042
-1413217,1257100,1735805,-1123476
-1471715,1380660,1795145,-1182684
-1692161,1139458,1787603,-1146660
-1621309,906906,1744869,-945444
-1407423,737384,1732923,-1127176
-1439337,840300,1794271,-1189138
-1696157,629798,1802197,-1192630
-1763311,404796,1687899,-956010
-1934503,214440,1740897,-1126662
-2026797,318828,1789193,-1221762
-2205077,111722,1827987,-1150690
-2342751,-105126,1632459,-1367464
-2443839,-297280,1763053,-1113152
-2691117,-219134,1793333,-982690
-2729613,-409102,1806123,-1171550
-2598787,-668456,1840315,-1132464
-2431279,-824296,1787251,-1110422
-2370581,-708180,1839057,-1354166
-2198241,-938568,1811465,-1195730
-2336557,-1182276,1668967,-1346880
-2438671,-1341670,1787591,-1093640
-2353971,-1278456,1874709,-946238
-2203691,-1462204,1818605,-1152200
-2076711,-1696262,1809161,-1073456
-1900219,-1868032,1796509,-1090894
-2080829,-1786020,1749759,-1120450
-2195149,-1974542,1829889,-1148512
-2069629,-1712990,1819945,-1149064
-1889335,-1856524,1818853,-1062552
-2098111,-1795812,1782143,-906130
-2189829,-1960540,1851121,-1153310
-2407205,-2213706,1650041,-1295714
-2415709,-2377990,1805785,-1048178
-2518451,-2351270,1815583,-1054366
-2703609,-2477768,1848403,-1132654
-2727567,-2715496,1739037,-877452
-2931305,-2895152,1836249,-1073924
-3022147,-2878436,1791385,-1280716
-3212335,-2999582,1809745,-1114096
-2983073,-2737640,1934541,-1243306
-2923209,-2898030,1812401,-1071438
-2722707,-2887626,1727419,-1333436
-2686775,-2985970,1854709,-1109380
-2738279,-2743784,1697021,-1329840
-2926757,-2891224,1815153,-1097490
-2750179,-2897794,1837077,-1350592
-2684351,-2990934,1853353,-1104750
-2940031,-2747538,1620301,-997530
-2935613,-2888906,1821861,-1053984
-3173793,-2907774,1738207,-869910
-3190001,-2964572,1884937,-1121420
-3068569,-2742586,1856527,-982428
-2907775,-2892438,1828673,-1131022
-2992397,-2891516,1833399,-1264132
-3195529,-2966808,1892101,-1124980
-3061213,-2728328,1843575,-1044302
-2924287,-2895650,1816273,-1153954
-3014567,-2890076,1817849,-1283954
-3187607,-2963660,1882227,-1110504
-3280803,-2756986,1757405,-1279820
-3451889,-2893000,1809329,-1106916
-3693527,-2909196,1771209,-1159442
-3710763,-2953392,1882177,-1129366
-3453623,-2754990,1946953,-1116600
-3443209,-2889622,1805377,-1144530
-3459853,-2933022,1831007,-1147322
-3699759,-2946866,1883791,-1094136
-3902747,-2742702,1665021,-1162060
-3971707,-2888364,1810995,-1123080
-4120361,-2899836,1816509,-1190034
-4226877,-2938300,1912715,-1070300
-4042739,-2731078,1847361,-828614
-3965869,-2902756,1784291,-818286
-3822601,-2820636,1916231,-853098
-3694439,-2943416,1900317,-1069284
-3743381,-2739104,2087459,-1055072
-3964601,-2897844,2322431,-1144550
-3972647,-2895344,2426679,-1158084
-3713763,-2934420,2443583,-1044950
-3862463,-2711558,2484367,-1086396
-3971231,-2894132,2308211,-1078150
-3999637,-2903854,2405863,-1247182
-4242251,-2936944,2442529,-1069692
-4072281,-2731068,2404657,-1162762
-3985549,-2897808,2315263,-1051092
-4128669,-2915000,2287203,-792726
-4237569,-2938832,2401883,-1052620
-4144309,-2716914,2411491,-1106434
-3984453,-2893996,2331347,-1073802
-4063439,-2895226,2359463,-1318848
-4232711,-2935752,2400117,-1069124
-4456043,-2733266,2202943,-1247324
-4514133,-2884020,2284057,-1008486
-4617471,-2931856,2306293,-808216
-4753243,-2936810,2410809,-570144
-4568191,-2693614,2468879,-577794
-4509699,-2881976,2341915,-516094
-4371167,-2904900,2292223,-757440
-4228125,-2931576,2412259,-521878
-4080783,-2686262,2474393,-679718
-3979219,-2884132,2320699,-526632
-4145715,-2932730,2290809,-560748
-4231969,-2933272,2421821,-563732
-4226205,-2701094,2309009,-565038
-3982617,-2881798,2338255,-479796
-4215249,-2930820,2231145,-551378
-4232185,-2943614,2401497,-548084
-4245763,-2706866,2301977,-470224
-4502935,-2881444,2337989,-514974
-4715529,-2915050,2262707,-700480
-4759391,-2949546,2415197,-545984
-4908713,-3210376,2224569,-673762
-5026513,-3401324,2347769,-511124
-5124537,-3430930,2273035,-272948
-5286729,-3466470,2413705,-34726
-5201367,-3207298,2352367,-92654
-5020717,-3400800,2337011,18282
-4801859,-3441886,2260435,-58558
-4752905,-3454962,2439433,-9226
-4709315,-3210980,2304131,112520
-4493861,-3394772,2359411,56130
-4398747,-3449590,2236763,238392
-4233981,-3460966,2414171,2558
-4383615,-3203420,2246419,-73022
-4486411,-3395902,2355349,36334
-4345599,-3473558,2229249,189170
-4217649,-3459798,2438879,-25178
-4347507,-3231328,2232737,-154224
-4486889,-3394576,2363405,51902
-4287991,-3438918,2247377,176052
-4226533,-3462198,2434895,-43960
-4127341,-3202620,2402807,148666
-3954715,-3396784,2375551,27444
-3697171,-3450716,2269731,184282
-3696507,-3457104,2449353,-20234
-3920411,-3221112,2230667,105520
-3955069,-3392116,2320609,45702
-3866473,-3460406,2292965,270426
-3686379,-3460616,2471373,474150
-3837555,-3202724,2257441,307396
6539035,6562867,3932685,473638
6747145,6496581,3866937,609254
6807183,6508913,4040157,479444
6741881,6748375,3893653,731714
6546053,6568477,3910697,504214
6656893,6470561,3809119,303662
6800855,6503155,4034175,468136
6682707,6713791,3816207,264324
6549971,6565393,3895211,487750
6678555,6482247,3814879,581712
6803049,6521457,4014479,472230
6826431,6739925,3888769,214186
7080827,6570551,3912787,459730
7083137,6467481,3849437,385354
7336621,6518337,4029061,478742
7297803,6759475,3846933,287142
7087097,6568773,3931691,408768
7344759,6467177,3880147,254444
7335107,6517311,4054873,470072
7178379,6752949,4302833,365612
7076441,6572529,4430203,482974
7079047,6478151,4349525,228468
6830997,6529611,4586463,479450
6785921,6718533,4384253,730622
6564839,6569519,4433673,968484
6352185,6483829,4465441,792788
6288257,6526975,4587995,973140
6228283,6743303,4332827,1202744
6043865,6574083,4452325,1449090
5851815,6461239,4433859,1222728
5774943,6518145,4572675,995180
5807075,6720203,4697565,760912
6047461,6560275,4931007,659340
6082329,6473189,5064295,776196
6284999,6527353,5099951,526010
6193359,6753525,5207135,694886
6042837,6575607,4996817,474702
5853155,6457317,4938003,384010
5758589,6530715,5109507,524766
5991921,6278703,5054519,457142
6030637,6051039,4966405,424490
5898943,5935789,4971797,305318
5744351,6010229,5092527,521810
5804949,6202191,5002721,326614
6031951,6053097,4986083,444590
5773215,5919409,4922439,664714
5755701,6013845,5083909,521094
5807507,6238225,5047017,509096
6036603,6055469,4975055,529594
6123303,5938839,4849923,634292
6283337,6017171,5079943,549840
6246979,6228635,4974083,659860
6031411,6057939,4984259,490666
6264245,5908857,4837701,295148
6291415,6021755,5092369,512020
6445003,6235171,5115885,423246
6561189,6065761,4995811,506114
6324023,5920645,4894647,536022
6303697,6030277,5066247,551720
6152303,6207701,4880725,323288
6029061,6065831,4979129,528658
6231361,5913933,4816089,473274
6306523,6037511,4573799,530248
6074821,6235213,4812951,429758
6034501,6059181,4990271,559484
5988261,5925777,4840345,320534
5784467,6035465,5093753,518094
5582335,6236641,4852941,284570
5509965,6067097,5002201,536562
5493685,5922589,4895631,316488
5255321,6029119,5132735,517258
5164407,6235583,4928215,769362
4994287,6068665,4987405,518458
5161375,5892599,4854423,431246
5263497,6036937,5112303,480362
5120339,6221265,4912595,570908
4994021,6078407,4986529,520646
5195499,5944665,4746027,275776
5240425,6007997,4572139,481358
5351191,6206659,4566857,719356
5530429,6075997,4457811,507068
5609465,5927141,4251951,464558
5778687,6010809,4061447,482784
5659255,6190817,3889175,261154
5529029,6081939,3953107,18920
5665669,5905569,3762977,89554
5772381,6013659,3546657,-11418
5557743,6191287,3349227,-134514
5531191,6075995,3433185,52784
5680195,5919473,3217335,81874
5778789,6023183,3016175,-12966
5615033,6188403,2821995,-219058
5529287,6077865,2895751,-463024
5721831,5904825,2762823,-572706
5780273,6021305,2513093,-593946
5782031,6176149,2326639,-397726
5524533,6075085,2364335,-542380
5634905,5921745,2148539,-546598
5776899,6018417,1967399,-560214
5880247,6190217,1874483,-613514
6059749,6074929,1835869,-516734
6316603,5941449,1692613,-725592
6294269,6009543,1452563,-546992
6230945,6211189,1310151,-400608
6048777,6075803,1333803,-500858
6268475,5916193,1183723,-731566
6290917,6015813,1444025,-556414
6455757,6231189,1474245,-630696
6588143,6078769,1339515,-517926
6778443,5943287,1139529,-683336
6815617,6021323,938531,-558244
7005159,6207165,875017,-578798
7108901,6070965,792709,-511244
6933609,5923541,703367,-727718
6818533,6019077,918299,-529216
6868617,6218161,843671,-591526
7093527,6073067,817853,-504842
6852217,5917815,646091,-622954
6810635,6005123,393205,-562110
6648175,6210825,142491,-537414
6572595,6076497,272203,-473494
6735199,5933637,158593,-397816
6812385,6011883,392513,-526376
6694107,6224863,226931,-317478
6569491,6077467,270611,-513782
6573893,5937483,97835,-368856
6821567,6015937,-103509,-531306
6590275,6205613,130597,-332224
6572453,6070435,264845,-536112
6794609,5906471,136773,-670022
6808415,6016193,391487,-565532
7036755,6228439,361457,-556668
7103481,6070733,263459,-785390
7037563,5991641,184051,-831670
6791603,6000647,399361,-1061808
6662091,6244127,493119,-1033490
6581853,6068347,257305,-1104344
6781269,5924259,138775,-1279070
6802961,6008009,397931,-1053032
6588547,6224625,474271,-1046150
6583401,6078963,269149,-979262
6595131,5893021,149825,-911908
6798441,6010611,362143,-1074666
7012035,6190099,377195,-1089648
7105255,6073739,247481,-1039926
7216939,5892287,89485,-862488
7303337,6003825,-138959,-1070986
7088421,6210547,121511,-1188164
7100073,6078133,257811,-1032384
7102667,5913153,107809,-824720
7312105,5996361,-141373,-1079426
